"country","step","year","irw_c","irw_b","fw_c","fw_b","total"
"FR",8,2005,18144598,9799123,2455500,22099516,52498737
"FR",9,2006,18973046,9618749,2467500,22207501,53266796
"FR",10,2007,19634179,10182475,2476589,22289303,54582546
"FR",11,2008,18051415,9673029,2503212,22528911,52756567
"FR",12,2009,20918668,8162103,2536643,22829783,54447197
"FR",13,2010,21263496,8370745,2617357,23556210,55807808
"FR",14,2011,19585104,8802048,2665339,23988055,55040546
"FR",15,2012,21483636,8322500,2842261,23448654,56097051
"FR",16,2013,16481889,7969285,2685288,24167592,51304054
"FR",17,2014,17071335,8678953,2704361,24339248,52793897
"FR",18,2015,16879021,8628610,2713315,24419833,52640779
"DE",1,1992,32891572,10890285,1599084,4099059,49480000
"DE",2,1993,34530768,10909178,1648450,4225604,51314000
"DE",3,1994,37906495,10520992,1431931,3670582,53530000
"DE",4,1995,40151000,11017060,2045946,1320994,54535000
"DE",5,1996,39971555,11338100,2109552,1568794,54988000
"DE",6,1997,44752392,9093103,2377589,1747915,57971000
"DE",7,1998,42198600,12490894,2180616,1737890,58608000
"DE",8,1999,41000974,13433602,2331824,1659600,58426000
"DE",9,2000,58324157,13004050,2108237,1552556,74989000
"DE",10,2001,40344293,14031049,2422177,2018481,58816000
"DE",11,2002,42930327,11155181,4597017,2028475,60711000
"DE",12,2003,46785817,11566362,5028965,2380856,65762000
"DE",13,2004,53821588,12172994,5611106,2319311,73925000
"DE",14,2005,60939375,13208362,5977847,2821416,82947000
"DE",15,2006,63233600,12289245,5976095,5618061,87117000
"DE",16,2007,74112978,11112123,5579864,5318034,96123000
"DE",17,2008,55385402,12341147,6476606,5910844,80114000
"DE",18,2009,51978456,10314853,7220198,7298493,76812000
"DE",19,2010,57671268,11318244,6838141,6888249,82715903
"DE",20,2011,55393928,13550570,8004908,8385787,85335194
"DE",21,2012,51582209,13568946,6884124,7518682,79553961
"DE",22,2013,51689524,12229791,7426235,9529742,80875292
"DE",23,2014,53151992,12576661,7841809,9050931,82621394
"DE",24,2015,55845511,12735320,8069963,7880574,84531368
"EL",1,1992,355442,282063,95558,1508937,2242000
"EL",2,1993,616271,218227,292729,1103773,2231000
"EL",3,1994,595302,291654,199698,1311346,2398000
"EL",4,1995,353000,257729,168000,1077271,1856000
"EL",5,1996,360618,311790,161382,1175210,2009000
"EL",6,1997,371710,231287,129290,1252713,1985000
"EL",7,1998,323267,171000,117733,1079000,1691000
"EL",8,1999,448806,363049,143257,1260168,2215280
"EL",9,2000,324101,211619,148899,1287539,1972158
"EL",10,2001,369571,137050,49424,972760,1528805
"EL",11,2002,340968,163464,156106,924968,1585506
"EL",12,2003,290538,290612,171810,897441,1650401
"EL",13,2004,296087,172187,143848,1080432,1692554
"EL",14,2005,344187,199373,100978,956865,1601403
"EL",15,2006,314899,171469,131087,1048404,1665858
"EL",16,2007,435201,193135,61799,896865,1587000
"EL",17,2008,415475,175612,58998,815492,1465577
"EL",18,2009,239706,176032,34038,817443,1267219
"EL",19,2010,390543,246646,55457,1145354,1838000
"EL",20,2011,272128,148879,38642,691351,1151000
"EL",21,2012,656262,125852,180439,630834,1593387
"EL",22,2013,481695,162899,132442,816531,1593568
"EL",23,2014,481695,162899,132442,816531,1593568
"EL",24,2015,481695,162899,132442,816531,1593568
"HU",1,1995,456000,2403600,40000,1908000,4807600
"HU",2,1996,410400,1749600,81000,1772000,4013000
"HU",3,1997,565200,2233200,81000,1828000,4707400
"HU",4,1998,559200,2196000,79000,1792000,4626200
"HU",5,1999,590400,2595600,50900,2524900,5761800
"HU",6,2000,730560,3235560,87500,2509400,6563020
"HU",7,2001,686400,3504000,44000,2275000,6509400
"HU",8,2002,692160,3433680,43300,2354900,6524040
"HU",9,2003,738000,2866800,63000,2718000,6385800
"HU",10,2004,939840,2646120,78100,2593900,6257960
"HU",11,2005,819600,2545200,96000,3040000,6500800
"HU",12,2006,843600,2356800,99000,3147000,6446400
"HU",13,2007,757200,2556000,129000,2750000,6192200
"HU",14,2008,606000,2652000,75600,2485400,5819000
"HU",15,2009,694800,2142840,141500,2737800,5716940
"HU",16,2010,748814,2546736,96855,2897128,6289533
"HU",17,2011,778280,2727827,113653,3038059,6657819
"HU",18,2012,878227,2706409,112766,2846152,6543554
"HU",19,2013,1062796,2739679,129920,2728553,6660948
"HU",20,2014,1067428,2675082,172162,2507242,6421914
"HU",21,2015,1067428,2675082,172162,2507242,6421914
"IE",1,1995,2318800,35200,60500,9900,2424400
"IE",2,1996,2411200,36300,63800,8800,2520100
"IE",3,1997,2292400,36300,49500,19800,2398000
"IE",4,1998,2373800,38500,55000,25300,2492600
"IE",5,1999,2723600,38500,55000,25300,2842400
"IE",6,2000,2839320,20790,55000,25300,2940410
"IE",7,2001,2653200,12100,9900,25300,2700500
"IE",8,2002,2849330,23980,11000,26400,2910710
"IE",9,2003,2898720,19800,8855,24255,2951630
"IE",10,2004,2793838,2900,10000,11501,2818239
"IE",11,2005,2887500,4400,5500,15400,2912800
"IE",12,2006,2913900,6600,5500,12100,2938100
"IE",13,2007,2938100,7700,13200,22000,2981000
"IE",14,2008,2396900,1100,26400,30800,2455200
"IE",15,2009,2484407,3242,96000,88000,2671649
"IE",16,2010,2680272,400,85506,113617,2879796
"IE",17,2011,2674177,1553,81150,132847,2889728
"IE",18,2012,2612053,1166,110174,115068,2838461
"IE",19,2013,2802173,3105,130121,100186,3035585
"IE",20,2014,2877570,6332,120857,106026,3110785
"IE",21,2015,2972345,3369,115639,107436,3198789
"IT",1,1995,1818448,3893573,489840,7773070,13974931
"IT",2,1996,1477489,3838662,445880,7338180,13100211
"IT",3,1997,1372775,3638173,486700,7711840,13209488
"IT",4,1998,1386822,4189837,488270,7649040,13713969
"IT",5,1999,1476212,3903789,558920,10313330,16252251
"IT",6,2000,1402146,3257627,974970,7942630,13577373
"IT",7,2001,1372775,2393098,708070,7377430,11851373
"IT",8,2002,1273169,2082787,574620,7091690,11022266
"IT",9,2003,1291047,2078956,700220,8060380,12130603
"IT",10,2004,1350594,2331401,787878,8340223,12810095
"IT",11,2005,1559299,2293911,639981,8267356,12760546
"IT",12,2006,1711849,2135436,836066,7964594,12647946
